Match number,blueBans,redBans
244,"['Draven', 'Maokai', 'Nidalee']","['Kalista', 'Azir', 'Gangplank']"
245,"['Gangplank', 'Maokai', 'Gragas']","['Kalista', 'Azir', 'Rumble']"
246,"['Fiora', 'Olaf', 'Gangplank']","['TahmKench', 'Ryze', 'Corki']"
247,"['Alistar', 'Fiora', 'Lissandra']","['TahmKench', 'Lulu', 'Gangplank']"
248,"['TahmKench', 'Lulu', 'RekSai']","['Gangplank', 'Ryze', 'Elise']"
249,"['Kindred', 'TahmKench', 'Gangplank']","['Ryze', 'Lulu', 'Thresh']"
250,"['Graves', 'Nidalee', 'Gangplank']","['Anivia', 'Fiora', 'Ryze']"
251,"['TwistedFate', 'Gangplank', 'TahmKench']","['Thresh', 'Alistar', 'Lulu']"
252,"['Lulu', 'Ryze', 'RekSai']","['Gangplank', 'TahmKench', 'TwistedFate']"
253,"['Graves', 'Lissandra', 'Kalista']","['Ryze', 'Lulu', 'Gangplank']"
254,"['Nidalee', 'Gangplank', 'TahmKench']","['Lulu', 'Ryze', 'Lucian']"
255,"['Graves', 'Poppy', 'TahmKench']","['RekSai', 'Gangplank', 'Ryze']"
256,"['Thresh', 'TahmKench', 'Alistar']","['Graves', 'Gangplank', 'Ryze']"
257,"['Elise', 'Lulu', 'Ryze']","['TahmKench', 'Graves', 'Gangplank']"
258,"['Poppy', 'Lissandra', 'Gangplank']","['Graves', 'TahmKench', 'Lulu']"
259,"['Kalista', 'DrMundo', 'Ryze']","['Fiora', 'Gangplank', 'Poppy']"
260,"['Elise', 'Ahri', 'TahmKench']","['Ryze', 'Gangplank', 'Fiora']"
261,"['Elise', 'Lulu', 'Fiora']","['TahmKench', 'Graves', 'Gangplank']"
262,"['TahmKench', 'Lulu', 'Ryze']","['Lissandra', 'Corki', 'Bard']"
263,"['Nidalee', 'Graves', 'Lulu']","['Poppy', 'Gangplank', 'Ryze']"
264,"['Lulu', 'Lissandra', 'Lucian']","['Thresh', 'TahmKench', 'Graves']"
265,['Elise'],"['Ryze', 'Gangplank', 'Graves']"
266,"['Poppy', 'Lulu', 'Elise']","['Gangplank', 'Alistar', 'Graves']"
267,"['Fiora', 'Gangplank', 'Nidalee']","['Lulu', 'Corki', 'Graves']"
268,"['TahmKench', 'Poppy', 'Graves']","['Gangplank', 'Lissandra', 'Lulu']"
269,"['Kalista', 'TahmKench', 'Lulu']","['Fiora', 'Janna', 'Quinn']"
270,"['Gangplank', 'Fiora', 'Nidalee']","['Caitlyn', 'Bard', 'Lulu']"
271,"['Lulu', 'Corki', 'Lissandra']","['Gangplank', 'Alistar', 'TahmKench']"
272,"['Ryze', 'TahmKench', 'Alistar']","['Lulu', 'Elise', 'Bard']"
273,"['Corki', 'Poppy', 'Lissandra']","['TahmKench', 'Lulu', 'Graves']"
274,"['Kalista', 'TahmKench', 'Graves']","['Lissandra', 'Poppy', 'Fiora']"
275,"['Elise', 'Kindred', 'Fiora']","['Ryze', 'Gangplank', 'Corki']"
276,"['Kalista', 'Elise', 'Corki']","['Alistar', 'Graves', 'Gangplank']"
277,"['Quinn', 'Lissandra', 'Gangplank']","['Corki', 'Poppy', 'Lulu']"
278,"['Lissandra', 'Nidalee', 'Gangplank']","['Quinn', 'Corki', 'Lulu']"
279,"['Alistar', 'Lulu', 'Ryze']","['Gangplank', 'Poppy', 'Janna']"
280,"['Poppy', 'Nidalee', 'Graves']","['Quinn', 'Gangplank', 'Fiora']"
281,"['Corki', 'Elise', 'Graves']","['Alistar', 'Nidalee', 'Ryze']"
282,"['Gangplank', 'TwistedFate', 'Graves']","['Poppy', 'Zilean', 'Lissandra']"
283,"['Poppy', 'Fiora', 'Gangplank']","['Nidalee', 'Graves', 'Alistar']"
284,"['Gangplank', 'Alistar', 'Fiora']",[]
285,"['Ryze', 'Braum', 'Zed']","['Nidalee', 'Leblanc', 'TwistedFate']"
286,"['Ryze', 'Kalista', 'Graves']","['Gangplank', 'Poppy', 'Nidalee']"
287,"['Elise', 'Lulu', 'Poppy']","['Nidalee', 'Gangplank', 'Jhin']"
288,"['Syndra', 'Kalista', 'Lulu']","['Poppy', 'Gangplank', 'Nidalee']"
289,"['Poppy', 'Corki', 'Graves']","['Nidalee', 'Lulu', 'Fiora']"
290,"['Ryze', 'Zed', 'Nidalee']","['Alistar', 'Kalista', 'Thresh']"
291,"['Zilean', 'Nidalee', 'Lulu']","['Poppy', 'Gangplank', 'Corki']"
292,"['Poppy', 'Corki', 'Gangplank']","['Soraka', 'Lulu', 'Janna']"
293,"['Ryze', 'Braum', 'Draven']","['Nidalee', 'Bard', 'Poppy']"
294,"['Alistar', 'Gangplank', 'Lulu']","['Elise', 'Kalista', 'Fiora']"
295,"['Corki', 'Malphite', 'Elise']","['Gangplank', 'KogMaw', 'Fiora']"
296,"['Fiora', 'Nidalee', 'Gangplank']","['Kalista', 'KogMaw', 'Lulu']"
297,"['Nidalee', 'Orianna', 'Malphite']","['Lulu', 'Fiora', 'Lissandra']"
298,"['Graves', 'Nautilus', 'KogMaw']","['Kalista', 'Fiora', 'Lulu']"
